"Biomass total consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"10,855","10,663","10,783","10,934","11,654","11,015","11,563","11,546","12,628","12,779","12,315","13,277","12,953","13,912","13,396","12,840","15,332","16,619","19,286","21,005","21,716","21,847","20,695","23,974","21,898","21,996","25,585","24,031","24,957","26,553","27,230","24,322","27,770","27,877","25,252","25,314","27,749","25,682","24,266","24,434","24,022","19,915","17,256","16,337","21,702","24,446","20,797","25,861","27,356","32,801","35,943","35,670","36,249","41,530","44,447","51,505","47,702","49,091","45,504","44,266","32,059","32,809","33,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"20,034","20,550","20,961","23,232","23,744","24,019","24,940","25,799","28,234","29,310","30,134","29,857","31,808","33,746","36,040","33,783","37,637","40,254","43,459","46,034","51,317","56,838","51,533","62,702","51,387","52,233","44,524","41,813","44,113","36,987","25,351","35,277","37,870","36,360","41,040","43,525","41,255","39,426","38,682","39,614","40,203","29,134","27,605","25,064","25,663","27,211","45,175","50,080","47,294","62,139","68,576","65,958","62,806","68,475","70,479","59,880","62,377","57,426","55,037","52,422","44,267","46,900","46,638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"6,628","6,383","6,119","6,012","6,201","5,627","5,504","5,312","5,259","5,014","4,858","4,679","4,536","4,221","4,153","5,343","5,991","7,036","7,677","9,220","5,245","6,812","7,214","8,267","8,947","9,185","9,389","6,882","7,557","6,826","5,892","6,168","5,962","5,098","5,225","6,322","5,672","6,402","6,929","6,613","7,237","4,349","4,421","4,315","4,323","13,129","13,095","14,687","16,895","14,996","19,233","18,818","17,651","19,515","18,898","20,762","20,999","20,388","23,161","26,318","19,707","21,098","22,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,946,929,911,894,929,876,876,912,947,999,"1,051","1,069","1,052","1,016","1,052","1,244","1,332","1,507","1,718","2,033","2,760","3,728","3,867","4,130","4,456","4,603","4,349","2,680","2,810","2,836","3,253","3,535","3,796","4,159","3,201","4,257","3,555","4,488","5,185","6,290","6,761","5,926","6,199","6,856","7,035","6,555","6,173","7,190","9,605","10,066","10,413","10,111","9,303","10,305","11,481","12,498","14,171","14,609","15,694","15,851","13,228","14,306","14,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"59,263","57,453","57,324","57,158","56,954","58,111","58,726","57,118","60,128","61,503","62,607","60,153","59,513","59,618","62,124","60,171","69,291","74,209","84,713","94,177","129,655","143,253","130,211","158,213","129,571","131,497","118,753","110,609","116,471","119,813","97,387","95,097","104,515","117,581","122,702","124,868","141,121","179,526","160,398","166,341","175,442","111,573","107,841","112,173","140,770","113,952","122,105","132,654","150,944","115,680","129,212","135,968","132,355","140,965","145,391","159,989","157,556","159,765","164,408","162,150","133,357","140,005","141,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"36,755","36,193","36,803","38,085","37,909","38,609","41,431","39,563","43,378","44,378","44,071","43,427","44,848","46,520","48,306","46,222","52,757","58,522","69,583","74,611","107,311","112,965","114,254","130,696","126,712","129,504","118,013","123,048","129,565","110,418","77,705","83,295","81,062","63,582","91,752","84,854","81,257","81,058","81,012","88,351","92,101","62,169","49,134","57,137","58,021","66,769","68,978","77,898","109,780","106,259","121,236","128,531","125,625","139,153","142,875","136,897","137,746","133,180","134,389","131,840","116,904","121,050","124,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"10,185","9,519","8,940","8,642","8,170","7,607","7,729","7,032","7,537","7,239","6,979","6,833","11,704","11,683","11,342","11,997","13,317","14,489","19,149","22,757","11,200","12,156","15,590","13,549","15,471","15,586","14,557","15,280","16,005","25,306","21,420","21,066","19,677","22,946","24,095","24,537","29,277","25,268","24,732","22,772","24,097","24,140","20,700","23,198","26,567","30,442","31,642","33,981","27,112","31,525","43,757","45,595","46,968","50,705","50,755","47,476","51,211","54,520","56,232","53,420","52,580","52,986","53,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"56,355","55,869","57,086","56,292","58,807","57,849","58,516","56,789","59,131","58,782","57,448","59,242","57,325","58,597","56,911","57,737","67,336","73,314","78,013","78,083","87,178","92,637","88,365","99,999","103,656","103,593","106,848","107,643","112,589","84,523","57,715","55,081","47,150","46,636","45,054","45,882","52,115","52,574","47,373","41,957","46,934","53,076","48,105","43,984","47,857","49,698","51,514","55,759","58,162","64,331","67,654","66,252","68,997","80,146","82,579","93,384","92,027","99,339","101,011","105,051","95,696","97,096","102,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"46,454","45,262","45,730","47,377","47,186","47,374","48,649","48,284","50,587","52,235","53,189","52,414","54,198","56,615","57,537","57,464","66,499","71,749","82,661","94,186","129,198","140,768","130,485","154,832","136,912","138,089","102,041","96,234","100,900","82,469","61,362","69,518","80,199","80,254","84,884","97,525","103,551","95,749","86,439","89,341","90,285","79,111","73,134","74,449","82,076","83,025","86,233","93,328","112,834","126,668","146,711","162,101","157,080","173,435","167,629","173,947","170,611","171,739","173,373","166,316","146,093","148,272","157,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"2,858","2,926","3,081","3,183","3,492","3,543","3,750","4,095","4,217","4,389","5,234","4,837","4,873","5,061","4,976","4,015","4,671","5,258","6,536","7,090","7,274","6,648","6,018","7,368","4,926","5,081","4,653","3,302","3,528","3,725","4,357","4,439","4,693","5,041","4,926","4,942","5,413","4,230","4,070","4,300","4,432","3,832","3,667","3,735","4,452","1,822","5,307","6,286","6,180","7,292","7,029","6,573","5,747","5,818","7,473","7,992","7,497","7,440","7,337","7,780","7,307","6,692","7,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
