"Total energy consumption in the transportation sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"33,680","35,122","35,657","36,650","37,780","37,345","40,709","44,988","47,517","48,630","50,712","52,923","55,069","56,834","56,615","56,621","59,805","62,329","63,585","65,314","57,873","56,210","56,118","57,206","62,668","62,955","68,908","74,832","77,318","76,524","72,989","74,312","73,745","75,190","77,427","80,643","82,930","87,422","95,884","99,555","101,593","101,737","113,405","106,262","108,870","103,947","103,935","105,661","103,260","102,856","105,364","102,801","100,327","101,423","102,497","101,751","101,598","102,056","103,199","103,069","89,593","98,966","100,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"337,957","330,035","364,881","383,313","399,699","399,649","417,858","438,637","463,976","465,559","493,104","510,282","556,325","558,938","528,711","519,423","549,074","549,866","568,577","552,331","566,314","614,941","714,713","764,774","797,481","796,740","826,164","840,506","803,645","827,047","798,476","808,040","811,423","770,234","843,802","857,719","827,562","837,040","849,859","848,821","905,840","881,394","888,634","869,493","901,066","974,185","977,661","1,028,077","1,034,389","885,500","787,409","790,271","753,310","757,961","746,041","742,833","775,026","738,957","763,220","718,335","575,798","627,880","645,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"91,495","101,786","108,739","111,915","109,081","114,959","112,959","117,206","128,538","133,432","138,476","142,560","159,294","158,879","160,039","158,105","163,095","164,222","173,990","173,599","176,352","193,266","174,915","158,784","141,950","163,649","170,061","177,792","192,216","205,982","230,438","225,511","211,705","223,530","213,109","195,058","186,613","233,533","230,985","230,756","226,271","229,939","225,549","218,329","225,728","219,163","226,922","217,687","201,513","197,860","195,766","201,366","201,837","202,890","209,249","212,110","207,817","221,668","229,006","233,041","218,297","238,228","230,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"42,128","46,495","52,523","55,192","59,623","55,891","56,519","60,568","70,357","72,607","73,099","75,199","81,261","88,446","87,395","92,134","96,458","102,370","113,267","113,529","116,207","114,936","113,046","115,444","110,017","111,173","115,443","126,816","131,203","132,861","132,736","138,198","141,152","146,016","154,154","161,155","178,132","177,800","183,785","196,380","204,781","205,062","208,486","214,567","228,042","238,007","253,259","256,009","231,386","210,162","253,266","248,873","248,400","253,333","253,580","257,123","268,106","278,014","278,556","278,757","226,354","260,568","276,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"798,991","817,690","814,306","834,563","856,273","881,479","927,999","979,823","1,014,732","1,072,914","1,096,026","1,133,043","1,130,470","1,182,571","1,066,921","1,047,313","1,106,424","1,093,209","1,100,762","1,087,004","1,025,285","959,685","860,423","786,603","722,037","843,105","859,382","907,929","867,379","873,244","924,917","899,701","877,100","891,037","879,781","907,434","948,753","947,881","955,660","963,720","967,958","965,220","986,985","1,055,802","1,099,725","1,064,997","1,087,817","1,085,971","1,083,752","1,059,114","1,208,117","1,136,157","1,108,928","1,122,005","1,184,542","1,159,678","1,203,713","1,213,184","1,223,546","1,193,783","906,515","1,046,037","1,128,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"485,351","476,674","501,737","512,660","532,666","547,041","576,454","589,544","627,031","652,827","673,772","690,765","745,062","775,848","752,257","762,026","799,373","815,803","837,738","814,919","787,355","763,779","735,829","737,986","749,567","758,239","785,393","811,168","818,474","824,496","803,347","794,154","787,552","823,219","838,456","852,975","884,383","914,027","930,740","958,094","984,879","977,988","984,700","992,410","1,014,201","1,012,495","1,021,246","1,028,491","983,234","923,409","895,326","883,519","856,481","871,607","891,952","893,103","888,724","896,902","902,550","896,546","817,630","875,031","871,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"150,704","156,466","164,839","173,978","177,495","181,452","191,749","199,061","215,738","221,482","241,452","247,329","262,416","272,534","269,250","278,451","298,112","312,494","320,848","318,780","308,459","330,085","350,617","345,022","345,747","340,783","324,441","331,045","337,054","356,262","340,214","348,184","374,952","363,564","376,090","359,989","381,541","375,036","382,455","400,473","425,637","465,135","435,153","444,999","412,086","438,257","449,700","459,438","462,022","442,492","454,409","443,583","445,884","443,410","480,259","470,075","470,340","479,158","488,491","475,915","427,319","455,351","455,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"111,092","115,567","119,261","122,235","126,944","133,578","146,168","151,597","171,929","175,449","182,682","191,250","206,121","219,989","210,357","213,818","226,422","241,437","264,161","271,247","239,648","249,758","250,383","236,388","231,840","241,257","246,074","263,019","281,170","284,154","280,194","301,116","304,209","292,748","301,233","296,990","307,947","310,753","326,079","328,916","319,886","306,150","312,253","310,180","321,745","330,060","337,910","343,925","323,578","325,604","317,487","302,510","297,928","300,209","303,096","298,833","300,248","308,360","317,243","311,855","279,037","302,092","305,575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"535,692","515,493","531,568","554,094","565,983","571,089","592,897","627,774","677,724","688,075","717,976","746,453","799,027","813,116","782,416","769,147","838,028","857,038","866,683","850,396","817,577","775,996","729,733","741,641","757,863","762,969","792,878","838,811","870,235","819,622","842,516","840,002","856,819","877,788","886,345","901,532","896,228","933,731","956,920","967,862","998,648","995,655","999,706","987,901","1,016,354","1,033,665","1,028,834","1,023,313","973,005","963,105","958,193","955,489","939,402","938,914","937,983","915,838","901,761","910,426","909,110","921,207","784,767","848,755","852,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"61,311","53,281","52,092","53,405","49,676","53,889","56,047","63,794","59,019","58,304","63,334","67,447","65,334","60,210","58,376","56,998","55,344","55,427","54,546","54,400","52,167","51,201","50,621","50,925","54,087","50,730","56,422","60,804","61,893","60,866","57,830","57,997","56,859","57,039","56,070","57,906","58,610","64,938","62,809","65,366","65,131","65,690","65,010","63,894","62,104","62,115","64,661","63,767","60,496","62,361","62,534","59,423","56,575","56,992","60,994","60,629","56,857","57,824","59,932","59,269","50,364","54,813","57,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
